id,title,feedback_correct,feedback_incorrect
ba69bd0f-b44b-4a58-b11c-62f5953b7da6,belief | knowledge,,
7910d0ce-2365-421e-9734-727903f44647,love | hate,,
0bb05247-598b-4a07-8977-7b70b0266678,always | never,,
f9914651-0ca9-404e-8636-16c841ae3ca5,verb | noun,,
7ec9c16f-f2cd-4308-bb71-5e7465d3c30e,be | that,,
dd623aef-d4ec-4dff-9f02-06674ea6b697,do | stuff,,
c862c7c9-ee4c-4c08-822d-17bd5190b2a1,active | passive,,
6903c086-6046-4ef2-986f-c9a07f8545e0,yes | no,,
3b90f5fd-35ad-4102-a55f-1e7527a2697b,action | thing,,
49338c9f-3aaf-42ab-868e-750c5b65f574,expand | contract,,
b29abae6-e3b8-49dd-a017-a6e7d1685545,positive | negative,,
e01ce487-268f-4364-af29-42cde0b5f16f,open | close,,
39d246cf-b802-4194-a7dd-97648109cbc4,new | old,,
81739961-d064-42f6-883d-25230f908f33,fast | slow,,
2d451566-ef07-4e12-9d43-a9eb102ae911,energy | matter,,
1788928b-14b2-4575-baab-ae9057b568e7,light | heavy,,
527c1e2f-321b-4965-a9c9-fb7760a79ae2,up | down,,
9de6b142-c017-4293-a82c-64552b886b71,body | spirit,,
32debe7f-04f7-4626-807b-0b1754e09acd,flexible | rigid,,
3fbc83a6-1032-425e-965c-69c4ad6e07ce,logical | creative,,
f2f4e84d-b711-4610-ad62-7e4f1a933ef0,familiar | novel,,
63f0086a-8657-485e-932a-6e31fd041670,hot | cold,,
ca5a24d7-ba65-4d04-9eb0-22bf95056a1b,backward | forward,,
dd10d8fa-70e4-4370-9620-3d4114d622c5,organic | artificial,,
fd6e798d-54d6-44e0-bc45-f308e9d06776,old | young,,
f0404032-86a1-4c3c-aae2-d3db6e88848f,variety | repetition,,
957685ed-6f12-4248-a3d3-a2c216a9bb0e,vibrant | stagnant,,
32d5b60a-5567-4b3a-a4a0-66c24ad6452d,on | off,,
4925129a-0e1b-4a2a-ac15-e5f0376f0c49,life | death,,
207ea06e-b3bc-4b9c-9f92-efab1a40ceee,begin | finish,,
6e5981d0-d8d5-46b2-90b7-ae5fd37319e5,ethereal | material,,
ee6264b1-f694-4726-a6d4-0c5ac8f55942,go | stop,,
3e4d0766-2bf2-4560-b715-2b9ba825249d,dynamic | static,,
3066e311-7f11-4dcc-a382-a997d597b2ce,art | science,,
02168c4b-5e2d-45fe-a0bc-9a23f6164e31,constraint | freedom,,
7c94e831-b954-4e97-bd50-8585b3ac2e7e,fresh | stale,,
23ec1722-2878-44cb-8f4b-f65bd726ce9d,form | function,,
f5ba1140-1bb6-427d-a49b-75b36af11491,give | take,,
450c5fe3-1333-47f3-9a73-e1560283578c,relaxed | tense,,
8b4794b3-9c5a-484a-bde6-1284d229c690,electricity | magnetism,,
713298a6-8c84-425d-97fe-689ac86aa00c,transparent | opaque,,
c6cb4ed1-f1a5-4043-923d-a986e25a7499,original | copy,,
6e16773a-170b-4dad-ba82-51ed67f2a045,eternal | temporary,,
34b20475-3719-4f5d-a0aa-88a18ff7c794,genuine | superficial,,
6e4afb80-f345-4074-84f8-2e8a413c2ba5,unique | standard,,
69a6e20c-c910-4154-bed0-6d9e656ceb97,past | future,,
a13096fc-8f9e-4d2c-b9f8-6df040f1dcc0,rule | exception,,
da114a78-1dd0-4b8d-8b3c-dc254738a76b,top | bottom,,
d913eddc-175b-46e6-8923-45ce132834c0,first | last,,
da7548f5-2d61-4024-85dc-ed37f533eb1c,external | internal,,
15611561-9c76-4861-a16c-16c444020ac3,special | normal,,
534b0f19-1a92-4e67-b5cf-33f6f6c5ecdb,celestial | terrestrial,,
cb6b76e5-c545-4d09-8c11-b637f3d9a8e2,beautiful | ugly,,
1ef03495-d25e-4bdd-a0d6-52644c8f3343,now | then,,
7fe96f07-dd9a-41f6-8321-02dbe298d4c3,peace | anxiety,,
1f3955d9-d919-477a-82cb-0ba173d9faca,leader | follower,,
991d51e4-dae2-4f36-9a4d-6aad2fb01d71,generous | greedy,,
c0019854-1af7-49aa-916b-6e3ae95b8c6d,deep | shallow,,
9858e2f6-cf2c-43b1-8305-d9f5064a7e9b,joy | depression,,
10b4a722-f3c9-4053-b1d6-18af216b23b2,comedy | tragedy,,
5ba4aaea-8c5b-40b8-bd08-4187f28ae063,deviant | normal,,
613abd38-9679-42e5-a23d-034451de304f,optimism | pessimism,,
0c102eb0-3ddf-4ebe-a58e-d7fa0ccb58d6,here | there,,
325912a4-4f58-43fc-8236-24288b5256fd,vowels | consonants,,
ad54aecd-815f-415e-8e67-05eef6e159b3,one | zero,,
9f216343-ffc2-488c-86fa-58379b241606,invisible | visible,,
9f8bb0f2-1d40-4afc-8735-29093e807b9a,observer | observed,,
44285b69-159b-4c37-81e7-22643ec0fda9,motivation | apathy,,
0dd73a8c-06a1-4d4b-abde-f61a62de7c20,interesting | boring,,
84705f35-cdba-4355-921e-db0688d40939,present | absent,,
316c619f-8aaf-416b-9b92-3d9c385ed1e3,sound | silence,,
a3d26b39-98b9-4e7c-bffa-a0b3af31535b,pure | impure,,
186e6a52-c8cb-496e-89ba-8d10776c7440,questions | answers,,
3236fd60-cddd-437d-882d-426ba3d30a7f,reality | illusion,,
7ddc777a-3978-43c1-85a7-69392d45dfa5,responsible | dependent,,
5f43e164-e732-45b2-936a-d795c4269e91,simple | complex,,
73783dd9-a39a-4987-81b1-617aaf049b06,curve | straight,,
c0dd88e5-b658-4eae-88fe-f9c5856ea235,circle | square,,
fd851b4a-68b1-4c3d-892d-a405919a80c1,unity | division,,
d041c2c1-f0f4-4075-bddd-8509dfcdf236,superior | inferior,,
713819f6-2e07-4502-b424-6acb0b23bd16,levity | gravity,,
f4d375f1-ad55-4849-93d1-773df5ad5f8e,wave | particle,,
c2232fce-2e61-48e3-8892-1192fc0848c3,whole | part,,
8a6879a7-29bd-4e84-9918-61a8dbb5cabc,permissive | authoritarian,,
ed9f035a-adc1-48e3-821c-d13f73928232,odd | even,,
115f4eb5-861d-4f08-9ae7-aabceb7295fb,nature | technology,,
629a3471-eb76-4836-857e-f6c7a2dd3654,fine | coarse,,
1763ccd1-1e39-484b-a15f-8b0e0761fe2d,hope | despair,,
de4e794c-73c4-4c12-b1a0-0026b959bb1e,all | nothing,,
bdfedb3d-ded1-488e-8885-4dd335196264,attraction | repulsion,,
